,t,u,lambda,u_begin
124,-295.458984375,(1.4224732503009818e-16+2.8102520310824275e-16j),1665.8114437312781,(0.010191307975208064+0.07504150958347942j)
125,-295.42236328125,(1.5959455978986625e-16+3.41740524767431e-16j),1665.796016936319,(0.03470566365281035+0.015813820192025096j)
126,-295.3857421875,(1.457167719820518e-16+3.3306690738754696e-16j),1665.7805904270867,(0.019240934759866046+0.06761067296571426j)
127,-295.34912109375,(2.220446049250313e-16+3.95516952522712e-16j),1665.765164203574,(0.039627067323010384+0.0714963408560468j)
128,-295.3125,(1.8735013540549517e-16+2.393918396847994e-16j),1665.7497382657725,(0.00727934405182178+0.07328613115626761j)
129,-295.27587890625,(2.636779683484747e-16+3.3133218391157016e-16j),1665.7343126136743,(0.02692955189022164+0.03252160852735122j)
130,-295.2392578125,(1.6653345369377348e-16+1.682681771697503e-16j),1665.7188872472716,(0.06116551116038085+0.004359882420010586j)
131,-295.20263671875,(1.9081958235744878e-16+2.3418766925686896e-16j),1665.7034621665564,(0.07639760340541715+0.042988240197250886j)
132,-295.166015625,(2.498001805406602e-16+2.5760643618255585e-16j),1665.6880373715207,(0.06589689522995933+0.07233007572059773j)
133,-295.12939453125,(1.7867651802561113e-16+2.8709673527416157e-16j),1665.6726128621567,(0.08608363555702467+0.039504676703198655j)
134,-295.0927734375,(2.688821387764051e-16+3.5301622736128024e-16j),1665.6571886384563,(0.02115852903505938+0.035359497776182074j)
135,-295.05615234375,(2.0469737016526324e-16+2.8319360745321376e-16j),1665.6417647004116,(0.011631512246555953+0.07004788547097472j)
136,-295.01953125,(1.942890293094024e-16+3.694961003830599e-16j),1665.6263410480146,(0.09102439728924128+0.06540027160049998j)
137,-294.98291015625,(1.0408340855860843e-17+1.9125326322644298e-16j),1665.6109176812577,(0.04431312720767566+0.0832845339462857j)
138,-294.9462890625,(2.0643209364124004e-16+2.684484579074109e-16j),1665.5954946001327,(0.07729119800402122+0.09287001887305693j)
139,-294.90966796875,(1.3010426069826053e-16+2.8362728832220796e-16j),1665.5800718046314,(0.020080389203596883+0.06876181128628432j)
140,-294.873046875,(4.336808689942018e-18+2.981555974335137e-16j),1665.5646492947465,(0.05411145448316845+0.08825919345036352j)
141,-294.83642578125,(6.938893903907228e-17+3.15936513062276e-16j),1665.5492270704697,(0.004923648059723219+0.0724267412824328j)
142,-294.7998046875,(9.020562075079397e-17+2.94469310047063e-16j),1665.533805131793,(0.025011076506355326+0.0853126834718021j)
143,-294.76318359375,(6.852157730108388e-17+2.8254308614972246e-16j),1665.5183834787088,(0.08746156958879991+0.04183046930754378j)
144,-294.7265625,(-3.122502256758253e-17+2.6259376617598917e-16j),1665.5029621112087,(0.09126673828257137+0.056551120396637455j)
145,-294.68994140625,(-2.168404344971009e-17+3.165870343657673e-16j),1665.487541029285,(0.05134186438391151+0.0938843667291765j)
146,-294.6533203125,(4.163336342344337e-17+2.6790635682116815e-16j),1665.47212023293,(0.08891174021421255+0.021099306875456858j)
147,-294.61669921875,(6.418476861114186e-17+1.603535013106061e-16j),1665.4566997221352,(0.04472040239797064+0.04376382599668064j)
148,-294.580078125,(-9.974659986866641e-18+1.5590827240341554e-16j),1665.4412794968932,(0.006227501833107153+0.030172200129242068j)
149,-294.54345703125,(-3.3393426912553537e-17+2.389581588158052e-16j),1665.425859557196,(0.07851840251678154+0.09217873034000906j)
150,-294.5068359375,(8.109832250191573e-17+2.918672248330978e-16j),1665.4104399030352,(0.09630226224517724+0.02499541976559773j)
151,-294.47021484375,(4.336808689942018e-18+1.7499023063916042e-16j),1665.3950205344036,(0.037455426968766116+0.04238416904742363j)
152,-294.43359375,(-4.0332320816460765e-17+1.1015494072452725e-16j),1665.3796014512927,(0.025412536648824337+0.04006693516441537j)
153,-294.39697265625,(-1.968911145233676e-16+9.64939933512099e-17j),1665.3641826536946,(0.08421626702727802+0.05680989575099837j)
154,-294.3603515625,(5.160802341031001e-17+1.715207836872068e-16j),1665.3487641416018,(0.0253162530584535+0.062296700872637056j)
155,-294.32373046875,(1.734723475976807e-18+7.892991815694472e-17j),1665.3333459150058,(0.03278770234629937+0.026640031953353984j)
156,-294.287109375,(-1.936385080059111e-16+1.5200514458246772e-16j),1665.3179279738993,(0.038954954924515874+0.09089109085143793j)
157,-294.25048828125,(-9.107298248878237e-17+1.1839487723541708e-16j),1665.3025103182738,(0.09180629827191795+0.07923966050016362j)
158,-294.2138671875,(-1.214306433183765e-16+1.95590071916385e-16j),1665.2870929481217,(0.08735603303171097+0.09389688673017244j)
159,-294.17724609375,(-1.465841337200402e-16+8.586881206085195e-17j),1665.2716758634347,(0.014866890841643133+0.09610808742107346j)
160,-294.140625,(-1.2620113287731272e-16+5.681219383824043e-17j),1665.2562590642053,(0.05591407075792492+0.07656038995562281j)
161,-294.10400390625,(-6.331740687315346e-17+5.0306980803327406e-17j),1665.2408425504254,(0.08563857594071755+0.07945075310001073j)
162,-294.0673828125,(-6.722053469410127e-17+1.8474805019152996e-16j),1665.2254263220873,(0.046404829453628685+0.04819149989239533j)
163,-294.03076171875,(-6.722053469410127e-17+1.6176296413483726e-16j),1665.2100103791827,(0.029093834132932817+0.023424037774396146j)
164,-293.994140625,(-3.0357660829594124e-17+1.3704315460216776e-16j),1665.1945947217039,(0.08368457528983943+0.09976939497871155j)
165,-293.95751953125,(-2.1510571102112408e-16+2.246466901389965e-16j),1665.179179349643,(0.06036973144820971+0.032122084876330705j)
166,-293.9208984375,(-5.0306980803327406e-17+3.2786273695961654e-16j),1665.1637642629917,(0.09507804987860717+0.007798020346964885j)
167,-293.88427734375,(-7.155734338404329e-17+1.4007892068512717e-16j),1665.1483494617426,(0.08941300779180773+0.043701404728365714j)
168,-293.84765625,(-2.0166160408230382e-16+2.0383000842727483e-16j),1665.1329349458874,(0.0017041872187628427+0.05992520946338409j)
169,-293.81103515625,(-2.0339632755828063e-16+1.1622647289044608e-16j),1665.1175207154183,(0.05182858300929796+0.08848978073862093j)
170,-293.7744140625,(-8.630249292984615e-17+3.712308238590367e-16j),1665.1021067703275,(0.04726830093186758+0.020654877697950758j)
171,-293.73779296875,(-8.760353553682876e-17+2.3071822230491534e-16j),1665.0866931106068,(0.029140989686611052+0.047719252693036j)
172,-293.701171875,(-1.6609977282477928e-16+2.2985086056692694e-16j),1665.0712797362485,(0.07345248311147377+0.051202145118011036j)
173,-293.66455078125,(-1.739060284666749e-16+2.0296264668928643e-16j),1665.0558666472448,(0.0159233930374024+0.04930787217195805j)
174,-293.6279296875,(-1.682681771697503e-16+2.732189474663471e-16j),1665.0404538435873,(0.03240320790654139+0.023319188578023453j)
175,-293.59130859375,(-2.0816681711721685e-16+1.986258379993444e-16j),1665.0250413252684,(0.06725609015124884+0.04416756686711039j)
176,-293.5546875,(-5.377642775528102e-17+2.203098814490545e-16j),1665.00962909228,(0.08128615055492774+0.05539300533686812j)
177,-293.51806640625,(-2.498001805406602e-16+2.8622937353617317e-16j),1664.9942171446144,(0.08335082376364737+0.024411473212592395j)
178,-293.4814453125,(-1.5178830414797062e-16+3.0010716134398763e-16j),1664.9788054822636,(0.09446071004816504+0.009707196128673434j)
179,-293.44482421875,(-1.448494102440634e-16+1.6479873021779667e-16j),1664.9633941052198,(0.011561231847163756+0.06375678428194001j)
180,-293.408203125,(-1.8214596497756474e-16+2.220446049250313e-16j),1664.9479830134749,(0.026906429226392928+0.06425533770909654j)
181,-293.37158203125,(-3.122502256758253e-16+1.97758476261356e-16j),1664.932572207021,(0.017116280168763664+0.047918412855023844j)
182,-293.3349609375,(-1.5265566588595902e-16+3.0531133177191805e-16j),1664.9171616858503,(0.058077979171688304+0.0007414940935864811j)
183,-293.29833984375,(-1.8735013540549517e-16+2.0469737016526324e-16j),1664.9017514499546,(0.007724766354027202+0.05724640648455327j)
184,-293.26171875,(-1.5525775109992423e-16+2.203098814490545e-16j),1664.8863414993261,(0.05922774142855584+0.046465096508476605j)
185,-293.22509765625,(-2.732189474663471e-16+1.3704315460216776e-16j),1664.8709318339572,(0.08988366434082247+0.09312369657655589j)
186,-293.1884765625,(-1.5265566588595902e-16+9.367506770274758e-17j),1664.8555224538395,(0.09344534309416758+0.05994204226001955j)
187,-293.15185546875,(-2.177077962350893e-16+1.43982048506075e-16j),1664.8401133589655,(0.07665123133213597+0.056583225492198935j)
188,-293.115234375,(-1.6740081543176188e-16+7.979727989493313e-17j),1664.8247045493267,(0.0005406324253566797+0.08429406920222238j)
189,-293.07861328125,(-2.393918396847994e-16+1.3530843112619095e-16j),1664.809296024916,(0.011729298784093324+0.034695955225938956j)
190,-293.0419921875,(-1.7520707107365752e-16+2.0122792321330962e-16j),1664.7938877857246,(0.05141833318997441+0.028612524370951898j)
191,-293.00537109375,(-2.688821387764051e-16+1.0755285551056204e-16j),1664.7784798317452,(0.0282735672252756+0.08470322333419576j)
192,-292.96875,(-1.3010426069826053e-16+5.334274688628682e-17j),1664.7630721629698,(0.02653610003576358+0.025008704631717574j)
193,-292.93212890625,(-2.6194324487249787e-16+3.599551212651875e-17j),1664.7476647793903,(0.06094503340875651+0.08426301999336938j)
194,-292.8955078125,(-1.8908485888147197e-16+2.927345865710862e-17j),1664.7322576809988,(0.05484333639684161+0.07603008635617656j)
195,-292.85888671875,(-1.5092094240998222e-16+2.0383000842727483e-17j),1664.7168508677876,(0.018593695605766705+0.08441795583303369j)
196,-292.822265625,(-1.8735013540549517e-16+1.6349768761081407e-16j),1664.7014443397482,(0.04113707309438505+0.05934127559992243j)
197,-292.78564453125,(-2.3765711620882257e-16-2.7755575615628914e-17j),1664.6860380968733,(0.029036132029429552+0.08908459290952475j)
198,-292.7490234375,(-1.5612511283791264e-16+8.803721640582296e-17j),1664.6706321391548,(0.04044283159393507+0.036732406701356024j)
199,-292.71240234375,(-2.8449465006019636e-16-4.640385298237959e-17j),1664.655226466585,(0.03844154646815115+0.03946551249618418j)
200,-292.67578125,(-2.8275992658421956e-16+9.8879238130678e-17j),1664.6398210791556,(0.034322950260738117+0.0007560918903401604j)
201,-292.63916015625,(-2.411265631607762e-16-7.719519468096792e-17j),1664.6244159768587,(0.05050492362729785+0.09928398435540547j)
