,t,u,lambda,u_begin
92,-296.630859375,(2.3452648243577068e-17+2.222614453595284e-18j),1666.3052520814388,(0.09779772162634787+0.06090028767166275j)
93,-296.59423828125,(1.2454772456427232e-17-4.401860820291148e-17j),1666.289816139017,(0.05673057155805096+0.05333670780694963j)
94,-296.5576171875,(3.870601755773251e-17-8.402566836762659e-19j),1666.2743804825764,(0.05525905998675656+0.0017518697741785274j)
95,-296.52099609375,(-9.595189226496714e-18-5.027987574901527e-18j),1666.2589451121091,(0.05929559466515524+0.021091841173790007j)
96,-296.484375,(-3.496552006265752e-17-3.378645020007953e-17j),1666.2435100276075,(0.06366919844950635+0.06713931062205909j)
97,-296.44775390625,(4.47911022508074e-17+2.5067093041043764e-17j),1666.2280752290633,(0.019832264905005417+0.06482350557345591j)
98,-296.4111328125,(5.172999615471463e-17+3.944124215594924e-17j),1666.2126407164687,(0.05338506943418728+0.020718437917893906j)
99,-296.37451171875,(-1.7171051906739176e-17-6.627185779317646e-18j),1666.1972064898157,(0.020090568121716168+0.024935953964768387j)
100,-296.337890625,(1.032702569292443e-17+5.404070203482436e-17j),1666.1817725490964,(0.02210882951665203+0.05381628294328938j)
101,-296.30126953125,(6.30497444618211e-17+1.3274700349369395e-17j),1666.1663388943025,(0.0987479607496767+0.07003916975199877j)
102,-296.2646484375,(4.063809971041957e-17+8.419507495707745e-17j),1666.1509055254267,(0.019944537714938582+0.09133661494176806j)
103,-296.22802734375,(1.3837553742819877e-17+7.669036304440435e-17j),1666.1354724424607,(0.052612965392106394+0.027438093563447254j)
104,-296.19140625,(-2.4863805133702732e-17+7.778134148046789e-17j),1666.1200396453967,(0.010819077319115522+0.048920762327015414j)
105,-296.15478515625,(1.6628950820496424e-17+8.767638037029263e-17j),1666.1046071342264,(0.03150265106550987+0.01807854087296785j)
106,-296.1181640625,(1.9534273829578674e-17+6.61710608724532e-17j),1666.0891749089424,(0.051466340068487965+0.07488057760344713j)
107,-296.08154296875,(-2.9475052498555143e-17+4.2935464821610043e-17j),1666.0737429695362,(0.012034030124664375+0.0049384753276305315j)
108,-296.044921875,(2.391428119983066e-17+9.188539296431765e-17j),1666.0583113160003,(0.09552425586648618+0.08114955993023461j)
109,-296.00830078125,(4.0893903660490366e-17+5.955192190613447e-17j),1666.0428799483263,(0.0941048313745516+0.08047598379504296j)
110,-295.9716796875,(4.391865831513547e-19+6.581213066105419e-17j),1666.0274488665068,(0.051212884871615696+0.009866497286559361j)
111,-295.93505859375,(-4.887507160599401e-17+9.627545885081829e-17j),1666.0120180705335,(0.004835935932758762+0.026498825822321128j)
112,-295.8984375,(-3.3782585612257684e-17+4.3117365147032904e-17j),1665.9965875603984,(0.0012050638331778775+0.0877955343789415j)
113,-295.86181640625,(9.98572435474015e-18+9.22262178464691e-17j),1665.981157336094,(0.05070745690920684+0.02864459723776246j)
114,-295.8251953125,(-4.5312292211164814e-17+8.948331340502286e-17j),1665.9657273976118,(0.028099616648913608+0.018136435282462948j)
115,-295.78857421875,(-3.173768925890819e-17+4.538566644022072e-17j),1665.950297744944,(0.029836421828608142+0.05745856176990671j)
116,-295.751953125,(-5.442176098197039e-17+4.408004456136702e-17j),1665.9348683780831,(0.08804264645082505+0.0038281270665224357j)
117,-295.71533203125,(2.162215710500132e-17+1.435721507340529e-17j),1665.9194392970205,(0.05761784636994158+0.07613001878665605j)
118,-295.6787109375,(-1.5695996968655016e-17+7.494097861925066e-17j),1665.9040105017489,(0.01638184917411446+0.07865921698032577j)
119,-295.64208984375,(2.241051978576846e-17+3.8326414448464573e-17j),1665.8885819922598,(0.011890211046507206+0.0255948028078712j)
120,-295.60546875,(-9.44724962830283e-18+7.233847981497917e-17j),1665.8731537685458,(0.08603137748713414+0.02019255339197186j)
121,-295.56884765625,(3.0445540497871758e-18+6.406294145052505e-17j),1665.8577258305982,(0.03707187649468343+0.0385752196165802j)
122,-295.5322265625,(-1.364697794713256e-17+1.0767181731753697e-16j),1665.8422981784097,(0.013104977343022774+0.09209636178923897j)
123,-295.49560546875,(4.952615787384369e-17+8.589006729387211e-18j),1665.8268708119724,(0.006624886171471556+0.03383360847264543j)
124,-295.458984375,(2.6954201383826315e-17+1.0269903743107845e-16j),1665.8114437312781,(0.02407834045023748+0.016069005259100246j)
125,-295.42236328125,(6.993689325532946e-17+4.660845858843642e-17j),1665.796016936319,(0.09902191548652557+0.05514874700392119j)
126,-295.3857421875,(-8.822977164471612e-17+9.83554723298931e-17j),1665.7805904270867,(0.07657084656546054+0.010395146227490548j)
127,-295.34912109375,(-4.156584811466618e-17+4.176325476785196e-17j),1665.765164203574,(0.0065775003528952165+0.04406934177700261j)
128,-295.3125,(-2.2941438217310108e-17+7.50194319182134e-17j),1665.7497382657725,(0.04071729567432775+0.06410258450967314j)
129,-295.27587890625,(2.950324426139702e-17+8.887074071819245e-17j),1665.7343126136743,(0.028315881318311455+0.034422310710655324j)
130,-295.2392578125,(-5.385766764478169e-19+6.864822118610637e-17j),1665.7188872472716,(0.04313908148543932+0.004385950636896063j)
131,-295.20263671875,(1.564022188601058e-17-4.80435464340687e-18j),1665.7034621665564,(0.025965994968712203+0.060483439418946607j)
132,-295.166015625,(2.9302095339722476e-17+5.051173995478544e-17j),1665.6880373715207,(0.07116481614591562+0.03531066001657427j)
133,-295.12939453125,(-5.828580030552383e-18+5.21206127602484e-17j),1665.6726128621567,(0.0938197423159443+0.07960812072665154j)
134,-295.0927734375,(-5.793500968059931e-18+3.646317957213607e-17j),1665.6571886384563,(0.012058906330437725+0.005703309266134083j)
135,-295.05615234375,(4.514352580780928e-17+2.2132799426874128e-17j),1665.6417647004116,(0.012667910522283988+0.05931651537201063j)
136,-295.01953125,(7.11276137500401e-17+6.788133066647504e-17j),1665.6263410480146,(0.09070466273607086+0.021405640947590655j)
137,-294.98291015625,(4.993048768636752e-17+2.4443251879523688e-17j),1665.6109176812577,(0.011488299675256365+0.03703747374318308j)
138,-294.9462890625,(1.0630524877115036e-17+5.1828270484762335e-17j),1665.5954946001327,(0.0657086240441762+0.03828413743537316j)
139,-294.90966796875,(7.989875386298776e-17-2.1954900432568127e-17j),1665.5800718046314,(0.0745728297973618+0.039676257993751664j)
140,-294.873046875,(8.689388033211696e-17+3.5858496689084545e-17j),1665.5646492947465,(0.06127652014337681+0.0005099907200381004j)
141,-294.83642578125,(9.726430943255296e-17+1.050246896376764e-16j),1665.5492270704697,(0.07788129998872123+0.09303828307492397j)
142,-294.7998046875,(7.065671595733561e-17+8.058748222538258e-17j),1665.533805131793,(0.008077920603650124+0.01291526773255891j)
143,-294.76318359375,(8.025251088683587e-17+1.3713104419661274e-17j),1665.5183834787088,(0.027239125562201174+0.062253497306548215j)
144,-294.7265625,(1.1479915619987358e-16+3.1013821850501813e-17j),1665.5029621112087,(0.09663160525337346+0.018265837428221778j)
145,-294.68994140625,(9.04860184348372e-17+1.988754612558782e-17j),1665.487541029285,(0.08970325663062233+0.040225071298713j)
146,-294.6533203125,(4.364581444444608e-17-5.588319721844948e-18j),1665.47212023293,(0.022582040417406482+0.06708492052043089j)
147,-294.61669921875,(1.3435051627218514e-16-1.1875693915261522e-17j),1665.4566997221352,(0.06372005252242095+0.09436953548541928j)
148,-294.580078125,(1.2083545047169764e-16+5.4171945819534475e-17j),1665.4412794968932,(0.09908823067327717+0.09580253334534158j)
149,-294.54345703125,(1.6551248782475643e-17+6.544219563878577e-17j),1665.425859557196,(0.09835497572853424+0.09188952130335329j)
150,-294.5068359375,(8.31833999807006e-18-1.5800473188742913e-18j),1665.4104399030352,(0.02509032786706722+0.012707888394767842j)
151,-294.47021484375,(4.6777857733261766e-17+4.2671878756336346e-17j),1665.3950205344036,(0.0670584850798873+0.039079435482339164j)
